source_document_id,target_document_id,edge_type
UDQ-LIFECYCLE-SPEC-001,UDQ-OUT-SPEC-001,depends_on
UDQ-LIFECYCLE-SPEC-001,UDQ-PROF-SPEC-001,depends_on
UDQ-LIFECYCLE-SPEC-001,UDQ-SIG-SPEC-001,depends_on
UDQ-LIFECYCLE-SPEC-001,UDQ-UI-DEVFLOW-001,depends_on
UDQ-LOG-SPEC-001,UDQ-ARCH-NAR-001,depends_on
UDQ-LOG-SPEC-001,UDQ-ARCH-NAR-002,depends_on
UDQ-LOG-SPEC-001,UDQ-GOV-GLO-001,depends_on
UDQ-LOG-SPEC-001,UDQ-GOV-LOG-001,depends_on
UDQ-LOG-SPEC-001,UDQ-GOV-STD-001,depends_on
UDQ-LOG-SPEC-001,UDQ-GOV-STD-002,depends_on
UDQ-LOG-SPEC-001,UDQ-OUT-SPEC-001,depends_on
UDQ-LOG-SPEC-001,UDQ-QUAL-DEF-001,depends_on
UDQ-LOG-SPEC-001,UDQ-REQ-MAT-001,depends_on
UDQ-LOG-SPEC-001,UDQ-UI-ARCH-001,depends_on
UDQ-LOG-SPEC-001,UDQ-UI-INV-001,depends_on
UDQ-LOG-SPEC-001,UDQ-UI-MOD-001,depends_on
UDQ-LOG-SPEC-001,UDQ-UI-NAR-001,depends_on
UDQ-OUT-SPEC-001,UDQ-GOV-GLO-001,depends_on
UDQ-OUT-SPEC-001,UDQ-GOV-STD-002,depends_on
UDQ-OUT-SPEC-001,UDQ-SEC-SPEC-001,depends_on
UDQ-PERF-SPEC-001,UDQ-DEV-SPEC-001,depends_on
UDQ-PERF-SPEC-001,UDQ-GOV-SPEC-005,depends_on
UDQ-PERF-SPEC-001,UDQ-HIS-SPEC-001,depends_on
UDQ-PERF-SPEC-001,UDQ-LIFECYCLE-SPEC-001,depends_on
UDQ-PERF-SPEC-001,UDQ-OUT-SPEC-001,depends_on
UDQ-PROF-SPEC-001,UDQ-GOV-GLO-001,depends_on
UDQ-PROF-SPEC-001,UDQ-GOV-STD-001,depends_on
UDQ-PROF-SPEC-001,UDQ-GOV-STD-002,depends_on
UDQ-PROF-SPEC-001,UDQ-REL-SPEC-001,depends_on
UDQ-PROF-SPEC-001,UDQ-UI-ARCH-001,depends_on
UDQ-PROF-SPEC-001,UDQ-UI-MOD-001,depends_on
UDQ-PROF-SPEC-001,UDQ-UI-NAR-001,depends_on
UDQ-PROOF-TPL-001,UDQ-GOV-SPEC-002,depends_on
UDQ-PROOF-TPL-001,UDQ-QUAL-SPEC-002,depends_on
UDQ-PROOF-TPL-001,UDQ-REQ-MAT-001,depends_on
UDQ-PROOF-TPL-001,UDQ-SCM-STD-001,depends_on
UDQ-PROT-SPEC-001,UDQ-ARCH-NAR-001,depends_on
UDQ-PROT-SPEC-001,UDQ-ARCH-NAR-002,depends_on
UDQ-PROT-SPEC-001,UDQ-LOG-SPEC-001,depends_on
UDQ-PROT-SPEC-001,UDQ-OUT-SPEC-001,depends_on
UDQ-PROT-SPEC-001,UDQ-SIG-SPEC-001,depends_on
UDQ-PROT-SPEC-001,UDQ-UI-ARCH-001,depends_on
UDQ-PROT-SPEC-001,UDQ-UI-MOD-001,depends_on
UDQ-PROT-SPEC-001,UDQ-UI-NAR-001,depends_on
UDQ-QUAL-DEF-001,UDQ-ARCH-NAR-001,depends_on
UDQ-QUAL-DEF-001,UDQ-ARCH-NAR-002,depends_on
UDQ-QUAL-DEF-001,UDQ-GOV-STD-001,depends_on
UDQ-QUAL-DEF-001,UDQ-REQ-MAT-001,depends_on
UDQ-QUAL-DEF-001,UDQ-UI-ARCH-001,depends_on
UDQ-QUAL-DEF-001,UDQ-UI-MOD-001,depends_on
UDQ-QUAL-DEF-001,UDQ-UI-NAR-001,depends_on
UDQ-QUAL-SPEC-002,UDQ-EXM-SPEC-001,depends_on
UDQ-QUAL-SPEC-002,UDQ-GOV-SPEC-002,depends_on
UDQ-QUAL-SPEC-002,UDQ-GOV-SPEC-004,depends_on
UDQ-QUAL-SPEC-002,UDQ-GOV-SPEC-005,depends_on
UDQ-QUAL-SPEC-002,UDQ-HIS-SPEC-001,depends_on
UDQ-QUAL-SPEC-002,UDQ-QUAL-DEF-001,depends_on
UDQ-QUAL-SPEC-002,UDQ-REQ-MAT-001,depends_on
UDQ-README-API-001,UDQ-GOV-WI-001,depends_on
UDQ-README-API-001,UDQ-IMP-PLAN-001,depends_on
UDQ-README-AUDIT-001,UDQ-GOV-SOP-001,depends_on
UDQ-README-AUDIT-001,UDQ-GOV-SPEC-003,depends_on
UDQ-README-EXEC-001,UDQ-GOV-LOG-001,depends_on
UDQ-README-EXEC-001,UDQ-GOV-REG-003,depends_on
