source_type,source_id,edge_type,target_type,target_id
document,UDQ-UI-SPEC-001,depends_on,document,UDQ-LOG-SPEC-001
document,UDQ-UI-SPEC-001,depends_on,document,UDQ-SEQ-SPEC-001
document,UDQ-UI-SPEC-001,depends_on,document,UDQ-DIAG-SPEC-001
document,UDQ-UI-SPEC-001,depends_on,document,UDQ-HIS-SPEC-001
document,UDQ-UI-SPEC-002,depends_on,document,UDQ-UI-NAR-001
document,UDQ-UI-SPEC-002,depends_on,document,UDQ-UI-MOD-001
document,UDQ-UI-SPEC-002,depends_on,document,UDQ-EVT-SPEC-001
document,UDQ-UI-SPEC-002,depends_on,document,UDQ-DIAG-SPEC-001
document,UDQ-UI-SPEC-002,depends_on,document,UDQ-SEC-SPEC-001
document,UDQ-UI-SPEC-003,depends_on,document,UDQ-LOG-SPEC-001
document,UDQ-UI-SPEC-003,depends_on,document,UDQ-SIG-SPEC-001
document,UDQ-UI-SPEC-003,depends_on,document,UDQ-OUT-SPEC-001
document,UDQ-UI-SPEC-003,depends_on,document,UDQ-UI-SPEC-001
document,UDQ-UI-SPEC-004,depends_on,document,UDQ-HIS-SPEC-001
document,UDQ-UI-SPEC-004,depends_on,document,UDQ-EVT-SPEC-001
document,UDQ-UI-SPEC-004,depends_on,document,UDQ-UI-SPEC-001
document,UDQ-UI-SPEC-004,depends_on,document,UDQ-OUT-SPEC-001
document,UDQ-UI-SPEC-004,depends_on,document,UDQ-GOV-GLO-001
document,UDQ-UI-SPEC-004,depends_on,document,UDQ-GOV-STD-002
document,UDQ-UI-SPEC-004,depends_on,document,UDQ-UI-MOD-001
document,UDQ-UI-SPEC-005,depends_on,document,UDQ-REM-SPEC-001
document,UDQ-UI-SPEC-005,depends_on,document,UDQ-SEC-SPEC-001
document,UDQ-UI-SPEC-005,depends_on,document,UDQ-UI-SPEC-001
document,UDQ-UI-SPEC-005,depends_on,document,UDQ-UI-SPEC-002
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-GOV-STD-001
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-GOV-SPEC-002
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-AUD-SPEC-002
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-REL-SPEC-001
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-GOV-STD-001
document,UDQ-AUD-SPEC-001,depends_on,document,UDQ-GOV-STD-002
